Loan No.,Book Date,Loan Status,Product,Branch,Loan Amount,PN Amount,Term
1000215771,"September 10, 2021",POS,NC-BPL,NUEVA ECIJA HUB,"100,000.00","116,400.00",12
1000215313,"August 13, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"1,000,000.00","1,413,216.00",36
1000215766,"September 09, 2021",POS,NC-BPL,PAMPANGA HUB,"30,000.00","36,432.00",12
1000215516,"August 24, 2021",CLS,NC-BPL,PAMPANGA HUB,"50,000.00","60,096.00",12
1000215259,"August 09, 2021",CAN,CARS-SECOND HAND,NUEVA ECIJA HUB,"220,000.00","324,576.00",36
1000215560,"August 25, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"320,000.00","463,932.00",36
1000216100,"October 04, 2021",POS,CARS-SECOND HAND,TARLAC BRANCH,"630,000.00","929,376.00",36
1000216111,"October 04, 2021",POS,NC-BPL,PAMPANGA HUB,"100,000.00","118,920.00",12
1000216154,"October 08, 2021",POS,TRUCKS-SECOND HAND,NUEVA ECIJA HUB,"407,000.00","533,106.00",18
1000216164,"October 11, 2021",POS,TRUCKS-SECOND HAND,NUEVA ECIJA HUB,"780,000.00","976,560.00",24
1000216186,"October 12, 2021",POS,NC-BPL,NUEVA ECIJA HUB,"100,000.00","117,648.00",12
1000216206,"October 14, 2021",POS,NC-BPL,NUEVA ECIJA HUB,"40,000.00","48,576.00",12
1000216236,"October 19, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"207,000.00","276,552.00",24
1000216246,"October 19, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"380,000.00","432,828.00",12
1000216259,"October 20, 2021",CAN,NC-BPL,NUEVA ECIJA HUB,"75,000.00","91,080.00",12
1000216264,"October 21, 2021",POS,NC-BPL,NUEVA ECIJA HUB,"75,000.00","91,080.00",12
1000216272,"October 22, 2021",POS,NC-BPL,PAMPANGA HUB,"100,000.00","118,920.00",12
1000216307,"October 25, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"508,000.00","749,412.00",36
1000216319,"October 26, 2021",CAN,CARS-SECOND HAND,NUEVA ECIJA HUB,"310,000.00","457,344.00",36
1000216337,"October 27, 2021",POS,NC-BPL,NUEVA ECIJA HUB,"50,000.00","60,720.00",12
1000216382,"October 29, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"800,000.00","1,065,048.00",24
1000216417,"November 03, 2021",POS,NC-BPL,NUEVA ECIJA HUB,"50,000.00","59,472.00",12
1000216424,"November 03, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"230,000.00","302,712.00",24
1000216464,"November 09, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"120,000.00","183,060.00",36
1000216470,"November 11, 2021",POS,TRUCKS-SECOND HAND,NUEVA ECIJA HUB,"425,000.00","590,472.00",24
1000216556,"November 16, 2021",POS,CARS-SECOND HAND,TARLAC BRANCH,"500,000.00","737,604.00",36
1000216630,"November 22, 2021",POS,CARS-SECOND HAND,TARLAC BRANCH,"360,000.00","531,072.00",36
1000216654,"November 23, 2021",POS,CARS-SECOND HAND,PAMPANGA HUB,"480,000.00","708,120.00",36
1000216682,"November 24, 2021",POS,CARS-SECOND HAND,PAMPANGA HUB,"700,000.00","1,046,592.00",36
1000216697,"November 24, 2021",POS,TRUCKS-SECOND HAND,NUEVA ECIJA HUB,"420,000.00","525,840.00",24
1000216700,"November 25, 2021",POS,CARS-SECOND HAND,PAMPANGA HUB,"270,000.00","398,304.00",36
1000216774,"December 01, 2021",POS,NC-BPL,NUEVA ECIJA HUB,"50,000.00","60,720.00",12
1000216786,"December 01, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"400,000.00","590,112.00",36
1000216808,"December 02, 2021",POS,NC-BPL,NUEVA ECIJA HUB,"50,000.00","60,720.00",12
1000216815,"December 02, 2021",POS,NC-BPL,NUEVA ECIJA HUB,"50,000.00","60,720.00",12
1000216825,"December 03, 2021",POS,CARS-SECOND HAND,PAMPANGA HUB,"370,000.00","604,464.00",48
1000216869,"December 07, 2021",POS,NC-BPL,NUEVA ECIJA HUB,"100,000.00","118,920.00",12
1000216920,"December 14, 2021",CAN,TRUCKS-SECOND HAND,NUEVA ECIJA HUB,"550,000.00","685,872.00",24
1000217008,"December 16, 2021",POS,CARS-SECOND HAND,PAMPANGA HUB,"270,000.00","396,360.00",36
1000217018,"December 16, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"700,000.00","1,136,832.00",48
1000217021,"December 16, 2021",POS,NC-BPL,PAMPANGA HUB,"50,000.00","60,720.00",12
1000217049,"December 17, 2021",POS,TRUCKS-SECOND HAND,NUEVA ECIJA HUB,"550,000.00","617,928.00",12
1000217069,"December 17, 2021",CAN,CARS-SECOND HAND,NUEVA ECIJA HUB,"704,000.00","1,109,520.00",48
1000217170,"December 22, 2021",POS,NC-BPL,NUEVA ECIJA HUB,"50,000.00","60,096.00",12
1000217185,"December 22, 2021",CAN,CARS-SECOND HAND,NUEVA ECIJA HUB,"600,000.00","829,032.00",24
1000217197,"December 22, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"400,000.00","590,112.00",36
1000217254,"December 27, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"600,000.00","859,212.00",36
