Transmittal ID,Transmittal Type,Employee From,Department From,Employee To,Department To,Transaction Date,Transaction Time,Received By
80,0,28,DEPT6,5,DEPT3,"January 21, 2021",9:02:32 am,
80,1,28,DEPT6,5,DEPT3,"January 21, 2021",9:07:01 am,5
82,0,31,DEPT5,29,DEPT4,"January 21, 2021",9:10:00 am,
82,0,31,DEPT5,,DEPT4,"January 21, 2021",9:12:40 am,
82,1,31,DEPT5,,DEPT4,"January 21, 2021",10:19:33 am,29
83,0,31,DEPT5,29,DEPT4,"January 21, 2021",9:10:00 am,
83,0,31,DEPT5,,DEPT4,"January 21, 2021",9:12:31 am,
83,1,31,DEPT5,,DEPT4,"January 21, 2021",10:19:17 am,29
83,2,11,DEPT4,31,DEPT5,"January 25, 2021",3:52:21 pm,
83,1,11,DEPT4,31,DEPT5,"January 25, 2021",3:54:48 pm,31
83,2,31,DEPT5,4,DEPT3,"January 25, 2021",3:55:08 pm,
83,1,31,DEPT5,4,DEPT3,"January 25, 2021",3:57:36 pm,4
84,0,5,DEPT3,35,DEPT6,"January 21, 2021",10:09:15 am,
84,1,5,DEPT3,35,DEPT6,"January 21, 2021",10:10:22 am,35
84,2,35,DEPT6,5,DEPT3,"January 21, 2021",10:21:25 am,
84,1,35,DEPT6,5,DEPT3,"January 21, 2021",10:54:17 am,5
84,2,5,DEPT3,35,DEPT6,"January 21, 2021",10:56:48 am,
84,2,5,DEPT3,28,DEPT6,"January 21, 2021",10:58:56 am,
84,1,5,DEPT3,28,DEPT6,"January 21, 2021",11:03:07 am,28
85,0,5,DEPT3,35,DEPT6,"January 21, 2021",10:09:15 am,
85,1,5,DEPT3,35,DEPT6,"January 21, 2021",10:11:09 am,35
85,2,35,DEPT6,37,DEPT7,"January 21, 2021",2:39:10 pm,
85,1,35,DEPT6,37,DEPT7,"January 21, 2021",3:00:54 pm,37
85,2,37,DEPT7,,DEPT6,"January 25, 2021",8:56:58 am,
85,1,37,DEPT7,,DEPT6,"January 25, 2021",9:36:35 am,28
85,3,37,DEPT7,,DEPT6,"January 26, 2021",10:44:44 am,28
86,0,5,DEPT3,35,DEPT6,"January 21, 2021",10:09:15 am,
86,1,5,DEPT3,35,DEPT6,"January 21, 2021",10:10:54 am,35
86,2,35,DEPT6,37,DEPT7,"January 21, 2021",2:39:37 pm,
86,1,35,DEPT6,37,DEPT7,"January 21, 2021",3:01:08 pm,37
86,2,37,DEPT7,,DEPT6,"January 25, 2021",8:56:34 am,
86,1,37,DEPT7,,DEPT6,"January 25, 2021",9:36:49 am,28
86,3,37,DEPT7,,DEPT6,"January 26, 2021",10:45:17 am,28
87,0,5,DEPT3,35,DEPT6,"January 21, 2021",10:09:15 am,
87,1,5,DEPT3,35,DEPT6,"January 21, 2021",10:10:44 am,35
87,2,35,DEPT6,37,DEPT7,"January 21, 2021",2:39:56 pm,
87,1,35,DEPT6,37,DEPT7,"January 21, 2021",3:01:20 pm,37
87,2,37,DEPT7,,DEPT6,"January 25, 2021",8:55:30 am,
87,1,37,DEPT7,,DEPT6,"January 25, 2021",9:36:59 am,28
87,3,37,DEPT7,,DEPT6,"January 26, 2021",10:44:28 am,28
88,0,5,DEPT3,35,DEPT6,"January 21, 2021",10:09:15 am,
88,1,5,DEPT3,35,DEPT6,"January 21, 2021",10:10:34 am,35
88,2,35,DEPT6,37,DEPT7,"January 21, 2021",2:40:11 pm,
88,1,35,DEPT6,37,DEPT7,"January 21, 2021",3:01:43 pm,37
88,2,37,DEPT7,,DEPT6,"January 25, 2021",8:55:02 am,
88,1,37,DEPT7,,DEPT6,"January 25, 2021",9:37:09 am,28
88,3,37,DEPT7,,DEPT6,"January 26, 2021",10:44:04 am,28
89,0,29,DEPT4,35,DEPT6,"January 21, 2021",10:20:21 am,
89,1,29,DEPT4,35,DEPT6,"January 21, 2021",10:21:01 am,35
89,2,35,DEPT6,29,DEPT4,"January 21, 2021",2:32:55 pm,
89,1,35,DEPT6,29,DEPT4,"January 21, 2021",2:34:17 pm,29
90,0,5,DEPT3,28,DEPT6,"January 21, 2021",11:00:28 am,
90,1,5,DEPT3,28,DEPT6,"January 21, 2021",11:02:04 am,28
90,3,5,DEPT3,28,DEPT6,"January 25, 2021",10:41:50 am,28
91,0,28,DEPT6,9,DEPT4,"January 21, 2021",11:32:59 am,
91,1,28,DEPT6,9,DEPT4,"January 21, 2021",11:38:51 am,9
91,2,9,DEPT4,37,DEPT7,"January 21, 2021",12:05:55 pm,
91,1,9,DEPT4,37,DEPT7,"January 21, 2021",3:06:26 pm,37
91,2,37,DEPT7,,DEPT3,"January 25, 2021",9:19:15 am,
91,1,37,DEPT7,,DEPT3,"January 25, 2021",9:33:57 am,5
92,0,28,DEPT6,9,DEPT4,"January 21, 2021",11:32:59 am,
92,1,28,DEPT6,9,DEPT4,"January 21, 2021",11:38:40 am,9
92,2,9,DEPT4,37,DEPT7,"January 21, 2021",12:05:38 pm,
92,1,9,DEPT4,37,DEPT7,"January 21, 2021",3:06:20 pm,37
92,2,37,DEPT7,,DEPT3,"January 25, 2021",9:19:35 am,
92,1,37,DEPT7,,DEPT3,"January 25, 2021",9:34:04 am,5
93,0,28,DEPT6,9,DEPT4,"January 21, 2021",11:32:59 am,
93,1,28,DEPT6,9,DEPT4,"January 21, 2021",11:38:30 am,9
93,2,9,DEPT4,37,DEPT7,"January 21, 2021",12:05:15 pm,
93,1,9,DEPT4,37,DEPT7,"January 21, 2021",3:04:59 pm,37
93,2,37,DEPT7,,DEPT3,"January 25, 2021",9:18:54 am,
93,1,37,DEPT7,,DEPT3,"January 25, 2021",9:34:15 am,5
94,0,5,DEPT3,28,DEPT6,"January 21, 2021",1:06:35 pm,
94,1,5,DEPT3,28,DEPT6,"January 21, 2021",1:08:11 pm,28
94,3,5,DEPT3,28,DEPT6,"January 25, 2021",10:41:26 am,28
95,0,5,DEPT3,28,DEPT6,"January 21, 2021",1:06:35 pm,
95,1,5,DEPT3,28,DEPT6,"January 21, 2021",1:08:46 pm,28
95,2,28,DEPT6,9,DEPT4,"January 25, 2021",11:45:53 am,
95,1,28,DEPT6,9,DEPT4,"January 25, 2021",12:15:09 pm,9
96,0,38,DEPT3,3,DEPT2,"January 21, 2021",1:45:07 pm,
96,1,38,DEPT3,3,DEPT2,"January 21, 2021",1:46:02 pm,3
97,0,3,DEPT2,35,DEPT6,"January 21, 2021",1:47:06 pm,
97,1,3,DEPT2,35,DEPT6,"January 21, 2021",2:32:36 pm,35
98,0,5,DEPT3,28,DEPT6,"January 21, 2021",2:27:08 pm,
98,1,5,DEPT3,28,DEPT6,"January 21, 2021",2:43:07 pm,28
98,3,5,DEPT3,28,DEPT6,"January 22, 2021",9:51:33 am,28
99,0,35,DEPT6,37,DEPT7,"January 21, 2021",2:40:40 pm,
99,1,35,DEPT6,37,DEPT7,"January 21, 2021",3:01:56 pm,37
99,2,37,DEPT7,,DEPT6,"January 25, 2021",8:54:26 am,
99,1,37,DEPT7,,DEPT6,"January 25, 2021",9:35:22 am,28
100,0,35,DEPT6,37,DEPT7,"January 21, 2021",2:42:57 pm,
100,1,35,DEPT6,37,DEPT7,"January 21, 2021",3:02:07 pm,37
100,2,37,DEPT7,,DEPT6,"January 25, 2021",8:53:06 am,
100,1,37,DEPT7,,DEPT6,"January 25, 2021",9:37:41 am,28
101,0,5,DEPT3,4,DEPT3,"January 21, 2021",2:50:33 pm,
101,1,5,DEPT3,4,DEPT3,"January 21, 2021",3:35:44 pm,4
102,0,5,DEPT3,4,DEPT3,"January 21, 2021",2:50:33 pm,
102,1,5,DEPT3,4,DEPT3,"January 21, 2021",3:35:50 pm,4
103,0,5,DEPT3,4,DEPT3,"January 21, 2021",2:50:33 pm,
103,1,5,DEPT3,4,DEPT3,"January 21, 2021",3:35:56 pm,4
104,0,5,DEPT3,4,DEPT3,"January 21, 2021",2:50:33 pm,
104,1,5,DEPT3,4,DEPT3,"January 21, 2021",3:36:02 pm,4
105,0,5,DEPT3,4,DEPT3,"January 21, 2021",2:50:33 pm,
105,1,5,DEPT3,4,DEPT3,"January 21, 2021",3:36:07 pm,4
106,0,5,DEPT3,4,DEPT3,"January 21, 2021",2:50:33 pm,
106,1,5,DEPT3,4,DEPT3,"January 21, 2021",3:36:14 pm,4
107,0,5,DEPT3,4,DEPT3,"January 21, 2021",2:50:33 pm,
107,1,5,DEPT3,4,DEPT3,"January 21, 2021",3:36:20 pm,4
108,0,5,DEPT3,4,DEPT3,"January 21, 2021",2:50:33 pm,
108,1,5,DEPT3,4,DEPT3,"January 21, 2021",3:36:25 pm,4
109,0,36,DEPT6,37,DEPT7,"January 21, 2021",2:53:20 pm,
109,1,36,DEPT6,37,DEPT7,"January 21, 2021",2:59:15 pm,37
109,2,37,DEPT7,36,DEPT6,"January 26, 2021",1:22:56 pm,
109,3,37,DEPT7,36,DEPT6,"January 26, 2021",3:07:29 pm,37
110,0,36,DEPT6,37,DEPT7,"January 21, 2021",2:53:20 pm,
110,1,36,DEPT6,37,DEPT7,"January 21, 2021",2:59:31 pm,37
110,2,37,DEPT7,36,DEPT6,"January 26, 2021",1:23:23 pm,
110,3,37,DEPT7,36,DEPT6,"January 26, 2021",3:08:26 pm,37
111,0,36,DEPT6,37,DEPT7,"January 21, 2021",2:53:20 pm,
111,1,36,DEPT6,37,DEPT7,"January 21, 2021",2:59:53 pm,37
111,2,37,DEPT7,36,DEPT6,"January 26, 2021",1:23:47 pm,
111,3,37,DEPT7,36,DEPT6,"January 26, 2021",3:21:30 pm,37
112,0,36,DEPT6,37,DEPT7,"January 21, 2021",2:53:20 pm,
112,1,36,DEPT6,37,DEPT7,"January 21, 2021",3:00:08 pm,37
113,0,36,DEPT6,37,DEPT7,"January 21, 2021",2:53:20 pm,
113,1,36,DEPT6,37,DEPT7,"January 21, 2021",2:58:53 pm,37
113,3,36,DEPT6,37,DEPT7,"January 26, 2021",4:57:28 pm,37
114,0,9,DEPT4,37,DEPT7,"January 21, 2021",3:14:53 pm,
114,1,9,DEPT4,37,DEPT7,"January 21, 2021",3:16:39 pm,37
115,0,5,DEPT3,37,DEPT7,"January 21, 2021",3:35:06 pm,
115,1,5,DEPT3,37,DEPT7,"January 21, 2021",3:36:44 pm,37
115,2,37,DEPT7,,DEPT3,"January 25, 2021",9:18:27 am,
115,1,37,DEPT7,,DEPT3,"January 25, 2021",9:34:21 am,5
116,0,10,DEPT4,3,DEPT2,"January 21, 2021",5:04:00 pm,
116,1,10,DEPT4,3,DEPT2,"January 21, 2021",5:05:29 pm,3
117,0,28,DEPT6,5,DEPT3,"January 22, 2021",8:43:53 am,
117,1,28,DEPT6,5,DEPT3,"January 22, 2021",9:50:55 am,5
118,0,20,DEPT2,35,DEPT6,"January 22, 2021",9:09:12 am,
118,1,20,DEPT2,35,DEPT6,"January 22, 2021",9:11:24 am,35
118,2,35,DEPT6,28,DEPT6,"January 22, 2021",9:11:35 am,
118,1,35,DEPT6,28,DEPT6,"January 22, 2021",9:12:19 am,28
119,0,4,DEPT3,9,DEPT4,"January 22, 2021",9:45:26 am,
119,1,4,DEPT3,9,DEPT4,"January 22, 2021",9:48:01 am,9
120,0,10,DEPT4,35,DEPT6,"January 22, 2021",9:48:27 am,
120,1,10,DEPT4,35,DEPT6,"January 22, 2021",9:50:10 am,35
120,2,35,DEPT6,37,DEPT7,"January 22, 2021",2:44:01 pm,
120,1,35,DEPT6,37,DEPT7,"January 22, 2021",3:37:15 pm,37
120,2,37,DEPT7,,DEPT6,"January 25, 2021",9:01:40 am,
120,1,37,DEPT7,,DEPT6,"January 25, 2021",9:36:18 am,28
121,0,3,DEPT2,35,DEPT6,"January 22, 2021",9:59:02 am,
121,1,3,DEPT2,35,DEPT6,"January 22, 2021",10:31:05 am,35
121,2,35,DEPT6,37,DEPT7,"January 22, 2021",2:44:31 pm,
121,1,35,DEPT6,37,DEPT7,"January 22, 2021",3:37:29 pm,37
121,2,37,DEPT7,20,DEPT2,"January 25, 2021",9:17:58 am,
121,1,37,DEPT7,20,DEPT2,"January 25, 2021",9:23:57 am,20
122,0,4,DEPT3,31,DEPT5,"January 22, 2021",11:26:22 am,
122,1,4,DEPT3,31,DEPT5,"January 25, 2021",3:45:58 pm,31
